Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,PhatBar_6,S,S_1,S_2,S_3,S_4,S_5,S_6
83,64.22639,0.02020514,0.10444516,0.5256477,0.5425762,0.58664083,0.5125511,0.53781813,0.5639852,1670,209,89,484,284,92,512
84,62.28439,0.02020514,0.10413426,0.52449596,0.47967166,0.5838363,0.5126722,0.5523945,0.5621648,1670,209,89,484,284,92,512
85,61.007294,0.02020514,0.10382342,0.5233874,0.5433875,0.58114624,0.51277345,0.53713036,0.5604326,1670,209,89,484,284,92,512
86,59.238064,0.02020514,0.10320175,0.5223211,0.48126498,0.578544,0.51285994,0.5514753,0.55873084,1670,209,89,484,284,92,512
87,58.099236,0.020516038,0.10320175,0.5212963,0.54377437,0.5760272,0.51293164,0.53647566,0.55711234,1670,209,89,484,284,92,512
88,56.481693,0.020826876,0.10320175,0.52031183,0.48250806,0.5736052,0.51299876,0.55058837,0.5555159,1670,209,89,484,284,92,512
89,55.458897,0.02175939,0.10320175,0.5193669,0.5438403,0.571274,0.51305115,0.53584987,0.55397415,1670,209,89,484,284,92,512
90,53.986897,0.02175939,0.10289091,0.5184606,0.483493,0.5690261,0.513087,0.5497208,0.5525137,1670,209,89,484,284,92,512
91,53.066452,0.02175939,0.10289091,0.517591,0.5437203,0.56687033,0.51311,0.53522533,0.5510721,1670,209,89,484,284,92,512
92,51.71035,0.02175939,0.10320175,0.51675797,0.48431903,0.56479305,0.5131179,0.5488537,0.5497054,1670,209,89,484,284,92,512
93,50.88298,0.021448553,0.10382342,0.51596045,0.54345775,0.56281453,0.5131196,0.53459686,0.54835725,1670,209,89,484,284,92,512
94,49.620155,0.021448553,0.103512585,0.51519734,0.48502454,0.5609098,0.5131097,0.54798406,0.54705274,1670,209,89,484,284,92,512
95,48.875347,0.021448553,0.103512585,0.51446766,0.5431191,0.5590818,0.5130836,0.53396624,0.5458254,1670,209,89,484,284,92,512
96,47.70221,0.02175939,0.103512585,0.5137704,0.48564786,0.5573205,0.51305526,0.5471101,0.54461205,1670,209,89,484,284,92,512
97,47.01567,0.02175939,0.10320175,0.5131044,0.5427195,0.5556172,0.51300985,0.533328,0.5434451,1670,209,89,484,284,92,512
98,45.92558,0.02175939,0.10258007,0.5124688,0.4862058,0.55399567,0.5129545,0.54623604,0.5423409,1670,209,89,484,284,92,512
99,45.301895,0.02175939,0.10258007,0.51186234,0.5423014,0.5524371,0.51289403,0.53267664,0.5412463,1670,209,89,484,284,92,512
100,44.287613,0.021448553,0.10289091,0.51128393,0.48672056,0.550948,0.5128161,0.5453567,0.5402312,1670,209,89,484,284,92,512
101,43.712963,0.021448553,0.10289091,0.5107325,0.54186106,0.5495002,0.512737,0.53201205,0.53921026,1670,209,89,484,284,92,512
102,42.75444,0.021448553,0.10289091,0.5102071,0.48719883,0.5480967,0.51265424,0.544472,0.5382291,1670,209,89,484,284,92,512
103,42.223038,0.02175939,0.10320175,0.5097066,0.54141426,0.54673475,0.5125603,0.53133696,0.5373211,1670,209,89,484,284,92,512
104,41.31708,0.02175939,0.10289091,0.5092299,0.48766083,0.5454178,0.5124719,0.54357606,0.53639984,1670,209,89,484,284,92,512
105,40.815533,0.02175939,0.10289091,0.50877607,0.5409567,0.5441433,0.51237726,0.53065675,0.53551793,1670,209,89,484,284,92,512
106,39.962906,0.02175939,0.10289091,0.50834405,0.48810154,0.54291606,0.5122792,0.54267615,0.53470117,1670,209,89,484,284,92,512
107,39.497585,0.02175939,0.10289091,0.5079329,0.5405072,0.54171866,0.51217914,0.52996576,0.5338759,1670,209,89,484,284,92,512
108,38.687836,0.022070229,0.10289091,0.50754136,0.48852223,0.54056066,0.51207817,0.54177773,0.53309095,1670,209,89,484,284,92,512
109,38.258373,0.022070229,0.10289091,0.50716984,0.5400675,0.53948706,0.51195204,0.52926743,0.53236187,1670,209,89,484,284,92,512
110,37.493755,0.022691965,0.10258007,0.5068159,0.48893717,0.53844494,0.5118338,0.5408739,0.5316265,1670,209,89,484,284,92,512
111,37.088516,0.022691965,0.10289091,0.506479,0.53961957,0.537435,0.5117025,0.5285627,0.5309533,1670,209,89,484,284,92,512
112,36.361713,0.023002803,0.10289091,0.5061581,0.4893468,0.5364662,0.51156914,0.53996694,0.5302714,1670,209,89,484,284,92,512
113,35.98482,0.023313642,0.10289091,0.5058525,0.539178,0.53553635,0.5114311,0.5278535,0.52961886,1670,209,89,484,284,92,512
114,35.30103,0.02362448,0.10289091,0.5055609,0.48975548,0.53465736,0.5112912,0.5390582,0.529011,1670,209,89,484,284,92,512
115,34.95333,0.02362448,0.10320175,0.5052827,0.53872335,0.53381866,0.5111396,0.5271461,0.5284118,1670,209,89,484,284,92,512
116,34.31048,0.02362448,0.10320175,0.5050172,0.4901835,0.5330189,0.5109878,0.53814334,0.52785796,1670,209,89,484,284,92,512
117,33.987446,0.023935318,0.10320175,0.5047634,0.53824306,0.5322435,0.5108367,0.52644587,0.52730036,1670,209,89,484,284,92,512
118,33.37715,0.023935318,0.10320175,0.5045207,0.4906352,0.53151065,0.5106885,0.5372242,0.52676,1670,209,89,484,284,92,512
119,33.074577,0.023935318,0.10289091,0.5042883,0.53773814,0.53081656,0.5105282,0.52575666,0.5262662,1670,209,89,484,284,92,512
120,32.496964,0.023935318,0.10258007,0.50406563,0.49110973,0.53016967,0.51036894,0.5363074,0.5257604,1670,209,89,484,284,92,512
121,32.215427,0.023935318,0.10289091,0.50385195,0.5372096,0.52956027,0.51020986,0.5250816,0.5252742,1670,209,89,484,284,92,512
122,31.666243,0.023935318,0.10289091,0.5036466,0.49160513,0.52896875,0.5100498,0.5353928,0.52483,1670,209,89,484,284,92,512
123,31.393496,0.023935318,0.10258007,0.5034492,0.5366582,0.528396,0.5098977,0.5244171,0.52438307,1670,209,89,484,284,92,512
124,30.86721,0.023935318,0.10289091,0.503259,0.49211285,0.52783984,0.50974154,0.53448546,0.523985,1670,209,89,484,284,92,512
125,30.602926,0.023935318,0.10289091,0.50307566,0.5361077,0.5273059,0.50959367,0.52376574,0.5235703,1670,209,89,484,284,92,512
126,30.100595,0.023935318,0.10289091,0.50289845,0.4926133,0.5267941,0.5094454,0.5335894,0.523176,1670,209,89,484,284,92,512
127,29.84615,0.023935318,0.10289091,0.5027273,0.5355703,0.52628744,0.50929636,0.5231162,0.5228202,1670,209,89,484,284,92,512
128,29.362392,0.023935318,0.10289091,0.50256145,0.49309742,0.52579874,0.50915337,0.5327096,0.522454,1670,209,89,484,284,92,512
129,29.116346,0.023935318,0.10289091,0.5024016,0.5350561,0.5253289,0.5090129,0.52247846,0.52210355,1670,209,89,484,284,92,512
130,28.648903,0.024246216,0.10289091,0.5022466,0.49356413,0.52491075,0.50888056,0.53184474,0.52177763,1670,209,89,484,284,92,512
131,28.408888,0.024246216,0.10289091,0.50209606,0.53456,0.5244998,0.5087476,0.5218457,0.5214504,1670,209,89,484,284,92,512
132,27.958845,0.024246216,0.10289091,0.50194925,0.49401408,0.5240951,0.5086196,0.53099674,0.52113587,1670,209,89,484,284,92,512
133,27.724794,0.024246216,0.10289091,0.50180644,0.53408426,0.52369666,0.5084945,0.52122164,0.5208498,1670,209,89,484,284,92,512
134,27.29357,0.024246216,0.10258007,0.501667,0.49444348,0.52331096,0.5083756,0.53016585,0.52055895,1670,209,89,484,284,92,512
135,27.071053,0.024246216,0.10258007,0.50153095,0.53363013,0.52294266,0.50825,0.52060705,0.5202939,1670,209,89,484,284,92,512
136,26.660334,0.024246216,0.10258007,0.5013987,0.4948568,0.5225951,0.5081373,0.5293596,0.5200162,1670,209,89,484,284,92,512
137,26.445553,0.024246216,0.10258007,0.50126964,0.5331923,0.5222721,0.50802886,0.5200072,0.5197654,1670,209,89,484,284,92,512
138,26.049292,0.024246216,0.10258007,0.5011434,0.49525473,0.52195704,0.50792617,0.5285731,0.5195054,1670,209,89,484,284,92,512
139,25.84713,0.024246216,0.10289091,0.50101984,0.5327731,0.52166057,0.50782305,0.51945215,0.519258,1670,209,89,484,284,92,512
