Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,PhatBar_6,PhatBar_7,PhatBar_8,PhatBar_9,PhatBar_10,S,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10
77,43.504723,0.11320752,0.3076923,0.53470135,0.544585,0.44196594,0.46128517,0.49874473,0.5716064,0.51680666,0.0001346475,0.40884015,0.5446978,749,140,219,18,16,24,132,88,7,28,77
78,43.16897,0.11320752,0.3086304,0.53408384,0.54345095,0.44341877,0.46134454,0.49930608,0.5717376,0.51693463,0.00013862886,0.41004488,0.54422116,749,140,219,18,16,24,132,88,7,28,77
79,42.90874,0.11320752,0.3086304,0.53330183,0.541818,0.44485664,0.46087366,0.5000571,0.57280433,0.5167808,0.00014277255,0.41125607,0.54377097,749,140,219,18,16,24,132,88,7,28,77
80,42.59554,0.11226416,0.3086304,0.5327001,0.54196936,0.44614357,0.46118632,0.5007964,0.57136464,0.5167207,0.00014715965,0.4124381,0.54328674,749,140,219,18,16,24,132,88,7,28,77
81,42.364677,0.111320734,0.3076923,0.5320462,0.54025257,0.44746822,0.4607798,0.5010519,0.5724542,0.51674956,0.00015173866,0.41357136,0.54284614,749,140,219,18,16,24,132,88,7,28,77
82,42.11715,0.111320734,0.3076923,0.531506,0.53948647,0.4485123,0.46119586,0.5015795,0.5726204,0.5167522,0.00015656774,0.4147181,0.5423633,749,140,219,18,16,24,132,88,7,28,77
83,41.88698,0.111320734,0.3076923,0.5309956,0.53926885,0.4495195,0.4609184,0.5018203,0.5716666,0.5165635,0.00016162978,0.41585702,0.5418858,749,140,219,18,16,24,132,88,7,28,77
84,41.67121,0.111320734,0.3086304,0.53032154,0.5375971,0.45102608,0.4607572,0.502167,0.57333815,0.5168288,0.00016699026,0.41691986,0.54145145,749,140,219,18,16,24,132,88,7,28,77
85,41.44164,0.111320734,0.3086304,0.52980876,0.53810185,0.4518847,0.46111703,0.5024213,0.5714362,0.5165211,0.00017261379,0.41799885,0.54104966,749,140,219,18,16,24,132,88,7,28,77
86,41.215954,0.111320734,0.3086304,0.52929544,0.5367859,0.45285136,0.46088344,0.5027475,0.5724689,0.5168987,0.00017858495,0.41905668,0.540619,749,140,219,18,16,24,132,88,7,28,77
87,41.043537,0.111320734,0.3076923,0.5288171,0.5354252,0.4542032,0.4610831,0.50300586,0.5732883,0.516765,0.00018485879,0.42009038,0.5401753,749,140,219,18,16,24,132,88,7,28,77
88,40.7763,0.111320734,0.30675423,0.5282693,0.53610694,0.4552344,0.46103483,0.5032891,0.57150555,0.51684254,0.00019152394,0.42108855,0.53978974,749,140,219,18,16,24,132,88,7,28,77
