Epoch,Loss,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,S,S_1,S_2,S_3,S_4,S_5,TestingError,TrainingError
105,0.18937552,0.693725646,0.563862801,0.801773548,0.667062402,0.621145785,482,91,99,96,97,99,0.241999984,0.023999989
106,0.18875809,0.693703592,0.563914776,0.801639318,0.667048335,0.621148288,482,91,99,96,97,99,0.24000001,0.023999989
107,0.188247994,0.693682075,0.563953996,0.80155915,0.667035103,0.621152282,482,91,99,96,97,99,0.241999984,0.023999989
108,0.18762207,0.693659663,0.5640046,0.801431477,0.667021394,0.62115556,482,91,99,96,97,99,0.237999976,0.023999989
109,0.187111989,0.693638444,0.564042985,0.801358521,0.667007148,0.621159852,482,91,99,96,97,99,0.24000001,0.023999989
110,0.186448798,0.693618,0.564097106,0.801218987,0.666994154,0.621164143,482,91,99,96,97,99,0.237999976,0.023999989
111,0.185931012,0.693598926,0.56413734,0.801145732,0.666979134,0.621168792,482,91,99,96,97,99,0.24000001,0.023999989
112,0.185239688,0.693578541,0.564195216,0.801003873,0.666965604,0.621173859,482,91,99,96,97,99,0.236000001,0.023999989
113,0.184703991,0.693560302,0.564239204,0.800921142,0.66695112,0.621178269,482,91,99,96,97,99,0.236000001,0.023999989
114,0.183990821,0.693538606,0.564301014,0.800771058,0.66693753,0.621183932,482,91,99,96,97,99,0.237999976,0.023999989
115,0.183466494,0.693518698,0.564344466,0.800699055,0.66692251,0.621188581,482,91,99,96,97,99,0.236000001,0.023999989
116,0.182701603,0.693496406,0.564410865,0.800525844,0.666907191,0.621195734,482,91,99,96,97,99,0.236000001,0.023999989
117,0.182182923,0.693475366,0.564459205,0.800422192,0.66689235,0.621200442,482,91,99,96,97,99,0.231999993,0.023999989
118,0.181432649,0.693451703,0.564526916,0.800264537,0.666876793,0.621208251,482,91,99,96,97,99,0.234000027,0.026000023
119,0.180881694,0.693430126,0.564575791,0.800155461,0.666862905,0.621213496,482,91,99,96,97,99,0.231999993,0.027999997
120,0.180209935,0.693404853,0.564645529,0.800020516,0.666848779,0.621218026,482,91,99,96,97,99,0.230000019,0.029999971
121,0.179601997,0.693382621,0.564695358,0.799886703,0.666833878,0.621227503,482,91,99,96,97,99,0.226000011,0.029999971
122,0.17895411,0.693356514,0.564764977,0.79977113,0.666820645,0.621230781,482,91,99,96,97,99,0.226000011,0.032000005
123,0.1782877,0.693333149,0.564826965,0.799592197,0.666801631,0.621241987,482,91,99,96,97,99,0.226000011,0.032000005
124,0.177674472,0.693306327,0.564890862,0.799489081,0.666788459,0.62124449,482,91,99,96,97,99,0.226000011,0.033999979
125,0.176984936,0.693281353,0.564962804,0.799297094,0.666771173,0.621256113,482,91,99,96,97,99,0.226000011,0.033999979
126,0.176404744,0.69325459,0.565026045,0.799198866,0.666757822,0.621258795,482,91,99,96,97,99,0.223999977,0.036000013
127,0.175764248,0.693228662,0.565096557,0.79902941,0.666739702,0.62126869,482,91,99,96,97,99,0.223999977,0.033999979
128,0.175165117,0.693200767,0.565163553,0.798913002,0.666726351,0.621272862,482,91,99,96,97,99,0.223999977,0.033999979
129,0.174509212,0.69317466,0.565226257,0.798727691,0.666706622,0.621285141,482,91,99,96,97,99,0.226000011,0.033999979
