SVM_C(2**),SVM_gamma(2**),Etr,Eval
6.0,2.0,0.0,0.29799999999999993
6.0,3.0,0.0,0.29799999999999993
6.0,4.0,0.0,0.3
6.0,5.0,0.0,0.3
6.0,6.0,0.0,0.3
6.0,7.0,0.0,0.3
6.0,8.0,0.0,0.3
6.0,9.0,0.0,0.3
6.0,10.0,0.0,0.3
6.0,11.0,0.0,0.3
6.0,12.0,0.0,0.3
6.0,13.0,0.0,0.3
6.0,14.0,0.0,0.3
6.0,15.0,0.0,0.3
7.0,-15.0,0.23688888888888887,0.255
7.0,-14.0,0.22244444444444444,0.24299999999999997
7.0,-13.0,0.21755555555555556,0.236
7.0,-12.0,0.21222222222222223,0.238
7.0,-11.0,0.20522222222222225,0.23899999999999996
7.0,-10.0,0.18844444444444441,0.23399999999999999
7.0,-9.0,0.15633333333333338,0.22800000000000004
7.0,-8.0,0.12733333333333335,0.24
7.0,-7.0,0.08533333333333334,0.25199999999999995
7.0,-6.0,0.030000000000000006,0.29400000000000004
7.0,-5.0,0.0044444444444444505,0.30700000000000005
7.0,-4.0,0.0,0.293
7.0,-3.0,0.0,0.27799999999999997
7.0,-2.0,0.0,0.29000000000000004
7.0,-1.0,0.0,0.30000000000000004
7.0,0.0,0.0,0.29799999999999993
7.0,1.0,0.0,0.29799999999999993
7.0,2.0,0.0,0.29799999999999993
7.0,3.0,0.0,0.29799999999999993
7.0,4.0,0.0,0.3
7.0,5.0,0.0,0.3
7.0,6.0,0.0,0.3
7.0,7.0,0.0,0.3
7.0,8.0,0.0,0.3
7.0,9.0,0.0,0.3
7.0,10.0,0.0,0.3
7.0,11.0,0.0,0.3
7.0,12.0,0.0,0.3
7.0,13.0,0.0,0.3
7.0,14.0,0.0,0.3
7.0,15.0,0.0,0.3
8.0,-15.0,0.22244444444444444,0.242
8.0,-14.0,0.21777777777777776,0.238
8.0,-13.0,0.21344444444444446,0.23700000000000002
8.0,-12.0,0.21044444444444443,0.23899999999999996
8.0,-11.0,0.19944444444444448,0.236
8.0,-10.0,0.1701111111111111,0.231
8.0,-9.0,0.1418888888888889,0.233
8.0,-8.0,0.11222222222222222,0.251
8.0,-7.0,0.06644444444444443,0.27599999999999997
8.0,-6.0,0.015666666666666672,0.29800000000000004
8.0,-5.0,0.0023333333333333205,0.30599999999999994
8.0,-4.0,0.0,0.29500000000000004
8.0,-3.0,0.0,0.27799999999999997
8.0,-2.0,0.0,0.29000000000000004
8.0,-1.0,0.0,0.30000000000000004
8.0,0.0,0.0,0.29799999999999993
8.0,1.0,0.0,0.29799999999999993
8.0,2.0,0.0,0.29799999999999993
8.0,3.0,0.0,0.29799999999999993
8.0,4.0,0.0,0.3
8.0,5.0,0.0,0.3
8.0,6.0,0.0,0.3
8.0,7.0,0.0,0.3
8.0,8.0,0.0,0.3
8.0,9.0,0.0,0.3
8.0,10.0,0.0,0.3
8.0,11.0,0.0,0.3
8.0,12.0,0.0,0.3
8.0,13.0,0.0,0.3
8.0,14.0,0.0,0.3
8.0,15.0,0.0,0.3
