Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,S,S_1,S_2,S_3,S_4,S_5
135,112.69868,0.07999998,0.286,0.69918215,0.5883525,0.80706805,0.66793597,0.6450853,482,91,100,95,97,99
136,112.6985,0.07999998,0.286,0.6991818,0.58835256,0.8070679,0.66793585,0.6450853,482,91,100,95,97,99
137,112.69835,0.07999998,0.286,0.69918144,0.5883527,0.8070679,0.6679357,0.6450852,482,91,100,95,97,99
138,112.69819,0.07999998,0.286,0.6991811,0.5883527,0.8070677,0.66793555,0.6450852,482,91,100,95,97,99
139,112.698006,0.07999998,0.286,0.69918066,0.58835274,0.8070677,0.6679355,0.64508516,482,91,100,95,97,99
140,112.697845,0.07999998,0.286,0.69918036,0.5883528,0.8070676,0.6679353,0.6450851,482,91,100,95,97,99
141,112.69768,0.07999998,0.286,0.69918,0.58835286,0.80706745,0.66793525,0.6450851,482,91,100,95,97,99
142,112.69751,0.07999998,0.286,0.6991797,0.5883529,0.80706733,0.6679351,0.6450851,482,91,100,95,97,99
143,112.697334,0.07999998,0.286,0.69917935,0.588353,0.8070672,0.66793495,0.6450851,482,91,100,95,97,99
144,112.69716,0.07999998,0.286,0.699179,0.588353,0.8070671,0.66793495,0.64508504,482,91,100,95,97,99
145,112.69701,0.07999998,0.286,0.6991787,0.588353,0.807067,0.6679348,0.64508504,482,91,100,95,97,99
146,112.69681,0.07999998,0.286,0.69917834,0.58835304,0.8070668,0.6679346,0.64508504,482,91,100,95,97,99
147,112.696655,0.07999998,0.286,0.699178,0.5883531,0.8070667,0.6679345,0.645085,482,91,100,95,97,99
148,112.69647,0.07999998,0.286,0.69917756,0.58835316,0.80706656,0.66793436,0.6450849,482,91,100,95,97,99
149,112.696304,0.07999998,0.286,0.6991772,0.5883532,0.8070665,0.66793424,0.64508486,482,91,100,95,97,99
150,112.69615,0.07999998,0.286,0.69917685,0.5883533,0.8070663,0.6679341,0.64508486,482,91,100,95,97,99
151,112.69598,0.07999998,0.286,0.69917655,0.58835334,0.80706626,0.667934,0.64508486,482,91,100,95,97,99
152,112.695786,0.07999998,0.286,0.69917613,0.5883534,0.8070662,0.6679338,0.64508474,482,91,100,95,97,99
153,112.69561,0.07999998,0.286,0.69917583,0.5883535,0.807066,0.66793364,0.64508474,482,91,100,95,97,99
154,112.695465,0.07999998,0.286,0.6991755,0.5883535,0.80706584,0.66793364,0.6450847,482,91,100,95,97,99
155,112.69528,0.07999998,0.286,0.6991752,0.5883536,0.8070658,0.6679335,0.6450847,482,91,100,95,97,99
156,112.695114,0.07999998,0.286,0.69917476,0.58835363,0.8070657,0.66793346,0.6450847,482,91,100,95,97,99
157,112.69496,0.07999998,0.286,0.69917446,0.58835363,0.8070656,0.6679333,0.6450846,482,91,100,95,97,99
158,112.69478,0.07999998,0.286,0.69917405,0.58835375,0.80706555,0.6679331,0.6450846,482,91,100,95,97,99
159,112.694626,0.07999998,0.286,0.6991737,0.5883538,0.80706537,0.667933,0.6450846,482,91,100,95,97,99
160,112.69444,0.07999998,0.286,0.69917333,0.5883539,0.8070653,0.66793287,0.64508456,482,91,100,95,97,99
161,112.69426,0.07999998,0.286,0.6991729,0.58835393,0.80706525,0.6679328,0.6450845,482,91,100,95,97,99
162,112.6941,0.07999998,0.286,0.69917256,0.58835393,0.80706507,0.6679326,0.64508444,482,91,100,95,97,99
163,112.693924,0.07999998,0.286,0.6991722,0.588354,0.80706495,0.66793257,0.64508444,482,91,100,95,97,99
164,112.693756,0.07999998,0.286,0.69917184,0.58835405,0.80706483,0.6679324,0.64508444,482,91,100,95,97,99
165,112.69359,0.07999998,0.286,0.6991715,0.5883541,0.8070647,0.6679323,0.64508444,482,91,100,95,97,99
166,112.69342,0.07999998,0.286,0.6991711,0.58835423,0.80706465,0.6679321,0.6450844,482,91,100,95,97,99
167,112.69325,0.07999998,0.286,0.69917077,0.5883543,0.8070646,0.6679321,0.6450844,482,91,100,95,97,99
168,112.69306,0.07999998,0.286,0.6991704,0.5883543,0.80706435,0.6679319,0.6450844,482,91,100,95,97,99
169,112.6929,0.07999998,0.286,0.69917005,0.58835435,0.80706435,0.6679318,0.6450843,482,91,100,95,97,99
170,112.692726,0.07999998,0.286,0.69916964,0.58835447,0.8070642,0.6679316,0.64508426,482,91,100,95,97,99
171,112.69255,0.07999998,0.286,0.6991693,0.5883545,0.807064,0.6679315,0.64508426,482,91,100,95,97,99
172,112.692375,0.07999998,0.286,0.6991689,0.5883546,0.8070639,0.6679313,0.6450842,482,91,100,95,97,99
173,112.6922,0.07999998,0.286,0.69916856,0.5883546,0.8070639,0.6679313,0.6450842,482,91,100,95,97,99
174,112.69203,0.07999998,0.286,0.69916815,0.5883547,0.8070637,0.66793114,0.6450842,482,91,100,95,97,99
175,112.69185,0.07999998,0.286,0.6991678,0.58835477,0.80706364,0.667931,0.64508414,482,91,100,95,97,99
